cat,val1
02.02.2021+00:0015:00,0.00
02.02.2021+00:0016:00,0.00
02.02.2021+00:0017:00,0.00
02.02.2021+00:0018:00,0.00
02.02.2021+00:0019:00,0.00
02.02.2021+00:0020:00,0.00
02.02.2021+00:0021:00,0.00
02.02.2021+00:0022:00,0.00
02.02.2021+00:0023:00,0.00
03.02.2021+00:0000:00,0.00
03.02.2021+00:0001:00,0.00
03.02.2021+00:0002:00,0.00
03.02.2021+00:0003:00,0.00
03.02.2021+00:0004:00,0.00
03.02.2021+00:0005:00,9129.50
03.02.2021+00:0006:00,23079.50
03.02.2021+00:0007:00,28923.00
03.02.2021+00:0008:00,53366.50
03.02.2021+00:0009:00,37200.00
03.02.2021+00:0010:00,54219.00
03.02.2021+00:0011:00,16910.50
03.02.2021+00:0012:00,14368.50
03.02.2021+00:0013:00,13345.50
03.02.2021+00:0014:00,16135.50
03.02.2021+00:0015:00,16755.50
03.02.2021+00:0016:00,20134.50
03.02.2021+00:0017:00,37556.50
03.02.2021+00:0018:00,38688.00
03.02.2021+00:0019:00,12725.50
03.02.2021+00:0020:00,1891.00
03.02.2021+00:0021:00,0.00
03.02.2021+00:0022:00,0.00
03.02.2021+00:0023:00,0.00
04.02.2021+00:0000:00,0.00
04.02.2021+00:0001:00,0.00
04.02.2021+00:0002:00,0.00
04.02.2021+00:0003:00,0.00
04.02.2021+00:0004:00,0.00
04.02.2021+00:0005:00,11206.50
04.02.2021+00:0006:00,43074.50
04.02.2021+00:0007:00,33728.00
04.02.2021+00:0008:00,66572.50
04.02.2021+00:0009:00,57396.50
04.02.2021+00:0010:00,64588.50
04.02.2021+00:0011:00,25652.50
04.02.2021+00:0012:00,23653.00
04.02.2021+00:0013:00,25110.00
04.02.2021+00:0014:00,31573.50
04.02.2021+00:0015:00,31961.00
04.02.2021+00:0016:00,37572.00
04.02.2021+00:0017:00,91682.50
04.02.2021+00:0018:00,74229.50
04.02.2021+00:0019:00,39184.00
04.02.2021+00:0020:00,28690.50
04.02.2021+00:0021:00,19127.00
04.02.2021+00:0022:00,12911.50
04.02.2021+00:0023:00,3890.50
05.02.2021+00:0000:00,0.00
05.02.2021+00:0001:00,0.00
05.02.2021+00:0002:00,0.00
05.02.2021+00:0003:00,0.00
05.02.2021+00:0004:00,0.00
05.02.2021+00:0005:00,24005.70
05.02.2021+00:0006:00,48455.10
05.02.2021+00:0007:00,195090.30
05.02.2021+00:0008:00,239246.10
05.02.2021+00:0009:00,234625.50
05.02.2021+00:0010:00,204545.70
05.02.2021+00:0011:00,31074.30
05.02.2021+00:0012:00,16814.70
05.02.2021+00:0013:00,17579.70
05.02.2021+00:0014:00,22567.50
05.02.2021+00:0015:00,24388.20
05.02.2021+00:0016:00,31074.30
05.02.2021+00:0017:00,62653.50
05.02.2021+00:0018:00,38647.80
05.02.2021+00:0019:00,21221.10
05.02.2021+00:0020:00,11077.20
05.02.2021+00:0021:00,9639.00
05.02.2021+00:0022:00,0.00
05.02.2021+00:0023:00,0.00
06.02.2021+00:0000:00,0.00
06.02.2021+00:0001:00,0.00
06.02.2021+00:0002:00,0.00
06.02.2021+00:0003:00,0.00
06.02.2021+00:0004:00,0.00
06.02.2021+00:0005:00,0.00
06.02.2021+00:0006:00,0.00
06.02.2021+00:0007:00,0.00
06.02.2021+00:0008:00,0.00
06.02.2021+00:0009:00,0.00
06.02.2021+00:0010:00,0.00
06.02.2021+00:0011:00,0.00
06.02.2021+00:0012:00,0.00
06.02.2021+00:0013:00,0.00
06.02.2021+00:0014:00,0.00
06.02.2021+00:0015:00,0.00
06.02.2021+00:0016:00,6246.50
06.02.2021+00:0017:00,29372.50
